978-2-36279-156-7;variante chilienne (La);;Raufast;Pierre;;;Alma éditeur;DL 2015;1 vol. (263 p.);19 cm;Adulte;11,8537712711779
978-2-7021-5637-7;Fils du Shéol;roman;Benmalek;Anouar;;;Calmann-Lévy;DL 2015;1 vol. (408 p.);22 cm;Adulte;72,0119873112557
978-2-7021-5806-7;Mémoires fauves;roman;Guitton;René;;;Calmann-Lévy;DL 2015;1 vol. (270 p.);22 cm;Adulte;59,3783269608772
978-2-7096-3051-1;Presque mort;roman;Edwardson;°Ake;;;Lattès;impr. 2009;1 vol. (474 p.);23 cm;Adulte;50,7953358468022
978-2-7096-4655-0;Toute ressemblance avec le père;roman;Courtès;Franck;;;Lattès;2014;1 vol. (439 p.);21 x 13 cm;Adulte;23,5731729802348
978-2-7324-4525-0;Je mesure tout;;Trius;Mireia;;;La Martinière jeunesse;impr. 2011;1 vol. (95 p.);22 cm;Jeunesse;16,9288468965895
978-2-7324-4821-3;Le rugby raconté aux enfants;;Escot;Richard;;;La Martinière jeunesse;impr. 2011;1 vol. (83 p.);32 cm;Jeunesse;40,1558295080358
978-2-7404-2716-3;grandes merveilles du monde (Les);;Yu;Soon-Hye;;;Mango-Jeunesse;2011;1 vol.;32 x 25 cm;Jeunesse;78,3151250937339
978-2-7459-4779-6;25 chasses au trésor;des scénarios originaux pour des fêtes inoubliables !;Rocher;Mathieu;;;Milan;DL 2011;1 vol. (90 p.);26 cm;Jeunesse;64,8986165782072
978-2-7459-5270-7;Champignons des bois et des prés;;Bustarret;Nicole;;;Milan;DL 2011;1 vol. (39 p.);19 cm;Jeunesse;15,2711868191501
978-2-7470-2450-1;kilos en trop (Les);;Sautereau;François;;;Bayard Jeunesse;2008;1 vol. (93 p.);18 x 13 cm;Jeunesse;25,7760452967014
978-2-7470-2469-3;Momo;;Ende;Michael;;;Bayard jeunesse;impr. 2009;1 vol. (430 p.);19 cm;Jeunesse;35,0611710256844
978-2-7470-3319-0;fièvre de la pleine lune (La);;Stine;R. L.;;;Bayard Jeunesse;2010;1 vol. (137 p.);18 x 13 cm;Jeunesse;16,4260275157294
